stationId,stationName,observationTime,NFDRType,fuelModelType,oneHR_TL_FuelMoisture,tenHR_TL_FuelMoisture,hundredHR_TL_FuelMoisture,thousandHR_TL_FuelMoisture,kbdi,gsi,woodyLFI_fuelMoisture,herbaceousLFI_fuelMoisture,ignitionComponent,energyReleaseComponent,spreadComponent,burningIndex
42308,BARNABY,2025-06-05,O,V,12.72,10.56,14.50,16.91,260,0.00,60.00,30.00,5.08,1.18,19.89,12.84
42308,BARNABY,2025-06-05,O,W,12.72,10.56,14.50,16.91,260,0.00,60.00,30.00,3.26,1.14,4.70,6.19
42308,BARNABY,2025-06-05,O,X,12.72,10.56,14.50,16.91,260,0.00,60.00,30.00,7.57,48.89,56.48,108.49
42308,BARNABY,2025-06-05,O,Y,12.72,10.56,14.50,16.91,260,0.00,60.00,30.00,6.95,24.87,2.00,17.57
42308,BARNABY,2025-06-05,O,Z,12.72,10.56,14.50,16.91,260,0.00,60.00,30.00,6.50,50.05,7.39,42.75
42601,BEAVER,2025-06-05,O,V,7.84,6.13,10.15,10.33,215,0.49,97.06,88.24,12.44,3.51,14.50,18.34
42601,BEAVER,2025-06-05,O,W,7.84,6.13,10.15,10.33,215,0.49,97.06,88.24,11.28,6.07,6.84,16.68
42601,BEAVER,2025-06-05,O,X,7.84,6.13,10.15,10.33,215,0.49,97.06,88.24,15.30,65.40,21.11,83.60
42601,BEAVER,2025-06-05,O,Y,7.84,6.13,10.15,10.32,217,0.49,97.06,88.24,19.39,50.76,1.63,22.75
42601,BEAVER,2025-06-05,O,Z,7.84,6.13,10.15,10.32,217,0.49,97.06,88.24,16.04,94.94,4.24,47.08
42603,BALD MTN LOC,2025-06-05,O,V,7.39,5.68,9.47,9.42,384,0.74,127.51,136.09,10.02,2.24,9.76,11.81
42603,BALD MTN LOC,2025-06-05,O,W,7.39,5.68,9.47,9.42,384,0.74,127.51,136.09,10.77,5.80,6.46,15.06
42603,BALD MTN LOC,2025-06-05,O,X,7.39,5.68,9.47,9.42,384,0.74,127.51,136.09,16.19,60.26,24.53,83.59
